customer_code,asm_area_name,asm_area_code,month,year,sec_netvalue,Bandhan_Net_Val,Wholesale_net_value,OtherPgrm_Net_Val,Non_Wholesale_net_value
2199,Hubqs,HUBL,5,2013,3313116.64,1038175.82,2035117.358,0,1277999.282
1715,Gujarat North,GUJAN,6,2011,1667668.03,1014283.53,1042353.73,0,625314.3
122,Rajasthan,RAJA,5,2011,2838210.35,813202.17,1140897.18,0,1697313.17
383,Western UP,WESTU,4,2012,6242857.797,0,3684084.662,0,2558773.135
245,Hyderabad 2,HYDE2,1,2012,4493928.15,3663825.04,3695635.6,0,798292.55
729,Western UP,WESTU,3,2013,2348163.748,274409.46,407954.46,0,1940209.288
1268,Gujarat North,GUJAN,9,2012,11826139.84,3647622.994,9410547.078,0,2415592.766
1723,Bangaqore,BANG,9,2011,91763.29,0,0,0,91763.29
2035,Centraq UP,CENTU,9,2013,1042367.659,0,807655.53,0,234712.129
450,Hubqs,HUBL,1,2012,4612439.81,1453680.38,1549653.33,0,3062786.48
1209,Haryana & HP,HARY&,6,2012,3085261.506,0,2356776.677,0,728484.829
1036,Nagpur,NAGP,5,2011,7023490.54,2746521.98,2796804.29,0,4226686.25
372,Vsjaywada,VIJA,4,2012,5034725.522,106120.73,2420331.055,0,2614394.467
1489,Mumbas 2,MUMB2,4,2012,4149145.95,914472.91,1189113.5,0,2960032.45
559,NER,NER,9,2011,15959436.66,10680603.24,15427397.36,0,532039.3
2202,Western UP,WESTU,1,2013,207478.44,189726.08,119646.37,0,87832.07
2478,Punjab,PUNJ,7,2013,6989040.734,1356973.638,4362339.969,0,2626700.765
967,Centraq UP,CENTU,12,2012,5809067.98,526808.29,1628039.084,0,4181028.896
1897,NER,NER,6,2011,1254412.71,0,1107127.12,0,147285.59
636,Gujarat North,GUJAN,6,2011,5676349.2,1436625.62,1469527.81,0,4206821.39
2671,Western UP,WESTU,12,2013,1001124.757,0,880964.915,0,120159.842
285,Cosmbatore,COIM,1,2013,1160928.947,0,165487.132,0,995441.815
